frequency_hz,real_ohm,imag_ohm,magnitude_ohm
3.724174273325735385e+01,1.330849729765442291e+01,7.666578604610098324e+00,1.535879317597383498e+01
3.767298178979600465e+01,1.333327259429175449e+01,7.781119691969697882e+00,1.543768058143613153e+01
3.810921435926495349e+01,1.335897108751662898e+01,7.898057969832695591e+00,1.551906660247139236e+01
3.855049826381873856e+01,1.338563629682698242e+01,8.017470023907188548e+00,1.560304728747504122e+01
3.899689199516091520e+01,1.341331431392976192e+01,8.139435833952429533e+00,1.568972327924562116e+01
3.944845472229707184e+01,1.344205398689515185e+01,8.264038959941585105e+00,1.577920008485969561e+01
3.990524629937760182e+01,1.347190711978396216e+01,8.391366740121682710e+00,1.587158836447398969e+01
4.036732727363121853e+01,1.350292868924047163e+01,8.521510501821060402e+00,1.596700424060067824e+01
4.083475889339059961e+01,1.353517707970540229e+01,8.654565785919320575e+00,1.606556962954590873e+01
4.130760311621058634e+01,1.356871433908604629e+01,8.790632585964214485e+00,1.616741259686085641e+01
4.178592261708080002e+01,1.360360645692506587e+01,8.929815602994487733e+00,1.627266773883057027e+01
4.226978079673293820e+01,1.363992366733950767e+01,9.072224517207352790e+00,1.638147659222045149e+01
4.275924179004465486e+01,1.367774077926041798e+01,9.217974277694734653e+00,1.649398807471634854e+01
4.325437047454040851e+01,1.371713753679505921e+01,9.367185411563008657e+00,1.661035895873267521e+01
4.375523247899106849e+01,1.375819901286292080e+01,9.519984353847915415e+00,1.673075438152898542e+01
4.426189419211275577e+01,1.380101603962843804e+01,9.676503799738226164e+00,1.685534839486949821e+01
4.477442277136680815e+01,1.384568567967408548e+01,9.836883080730155271e+00,1.698432455778819516e+01
4.529288615186119671e+01,1.389231174233388089e+01,1.000126856644702222e+01,1.711787657638613425e+01
4.581735305535545422e+01,1.394100535014800712e+01,1.016981409397731007e+01,1.725620899499408978e+01
4.634789299936957718e+01,1.399188556101313452e+01,1.034268142670545565e+01,1.739953794348590677e+01
4.688457630639845775e+01,1.404508005230148804e+01,1.052004074473459738e+01,1.754809194603314282e+01
4.742747411323311013e+01,1.410072587401736044e+01,1.070207116912593293e+01,1.770211279715557495e+01
4.797665838038980723e+01,1.415897027896729554e+01,1.088896132230337876e+01,1.786185651155271614e+01
4.853220190164832104e+01,1.421997163895710337e+01,1.108090992709163203e+01,1.802759435490665396e+01
4.909417831370063112e+01,1.428390045721516621e+01,1.127812644696637534e+01,1.819961396363653705e+01
4.966266210591141572e+01,1.435094048860088911e+01,1.148083177019128698e+01,1.837822056247007652e+01
5.023772863019159729e+01,1.442128998071702206e+01,1.168925894059026760e+01,1.856373828968989415e+01
5.081945411098610776e+01,1.449516305083739454e+01,1.190365393774530745e+01,1.875651164102645652e+01
